SSID,BSSID,RSSI,CHANNEL,Xcoordinate,Ycoordinate
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-37,1,315.7584670231728,573.8743315508021
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-43,1,535.3663101604277,578.8654188948307
@JumboPlus,00:7e:95:c9:79:00,-48,1,969.590909090909,379.2219251336899
@JumboPlus,00:7e:95:c9:79:00,-49,1,972.0864527629233,207.02941176470597
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-51,1,101.1417112299464,359.2575757575758
@JumboPlus,00:7e:95:c9:79:00,-51,1,972.0864527629233,42.323529411764866
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-52,1,108.62834224598919,189.56060606060612
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-54,1,93.65508021390372,568.8832442067736
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-57,1,480.464349376114,27.35026737967928
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-57,1,737.5053475935829,576.3698752228164
@JumboPlus,00:7e:95:c9:79:00,-57,1,737.5053475935829,576.3698752228164
@JumboPlus,00:7e:95:c9:79:00,-58,1,480.464349376114,27.35026737967928
@JumboPlus,00:7e:95:c9:79:00,-58,1,952.1221033868092,576.3698752228164
@JumboPlus,00:7e:95:c9:79:00,-58,1,702.5677361853832,27.35026737967928
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-59,1,969.590909090909,379.2219251336899
@JumboPlus,00:7e:95:c9:79:00,-60,1,535.3663101604277,578.8654188948307
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-60,1,952.1221033868092,576.3698752228164
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-61,1,240.89215686274508,32.34135472370781
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-61,1,972.0864527629233,207.02941176470597
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-61,1,702.5677361853832,27.35026737967928
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-63,1,972.0864527629233,42.323529411764866
@JumboPlus,00:7e:95:c9:79:00,-65,1,101.1417112299464,359.2575757575758
@JumboPlus,00:7e:95:c9:79:00,-65,1,58.717468805704016,32.34135472370781
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-66,1,58.717468805704016,32.34135472370781
@JumboPlus,00:7e:95:c9:79:00,-67,1,240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:c9:79:00,-68,1,315.7584670231728,573.8743315508021
@JumboPlus,00:7e:95:c9:79:00,-69,1,108.62834224598919,189.56060606060612
@JumboPlus,00:7e:95:c9:79:00,-73,1,93.65508021390372,568.8832442067736
