Xcoordinate,Ycoordinate,Mean,NewMean
1019.8355373697838,1265.5670106149555,"[-78.         -63.6        -68.         -81.9        -56.5
 -73.88888889 -65.         -62.         -83.         -56.22222222
 -74.55555556 -69.7        -73.        ]",-69.64358974358974
1023.302694261598,485.4567099567096,[-57. -87. -39. -60. -55. -66. -49. -77.],-61.25
1023.302694261598,589.4714167111424,[-78. -48. -70. -59. -55.],-62.0
1026.7698511534127,492.3910237403386,[-50. -88. -40. -58. -53. -59. -52.],-57.142857142857146
1026.7698511534127,596.4057304947712,[-60. -50. -71. -56. -53. -59. -67.],-59.42857142857143
1030.237008045227,485.4567099567096,[-55.  -68.  -42.  -60.5 -56.  -61.  -52.  -73.  -83.  -58.  -77. ],-62.31818181818182
1030.237008045227,495.8581806321529,[-39. -60. -59. -50. -55. -76.],-56.5
1030.237008045227,589.4714167111424,[-48. -67. -64. -56. -71. -77. -53.],-62.285714285714285
1033.7041649370412,686.5518096819465,[-73. -50. -59. -54. -63. -77. -70.],-63.714285714285715
1037.171321828856,478.5223961730808,[-41. -55. -54. -62. -49. -77. -56.],-56.285714285714285
1037.171321828856,488.9238668485241,[-87. -51. -66. -60. -50. -85. -76.],-67.85714285714286
1040.6384787206703,495.8581806321529,[-39. -68. -60. -61. -56. -73.],-59.5
1040.6384787206703,586.0042598193281,[-84. -50. -74. -64. -56.],-65.6
1040.6384787206703,690.0189665737607,"[-62.         -52.33333333 -60.5        -56.         -55.5
 -70.         -60.8        -73.         -69.         -74.
 -86.         -52.66666667 -72.5       ]",-64.94615384615385
1054.5071062879279,596.4057304947712,[-80. -49. -66. -55. -52.],-60.4
1061.4414200715569,603.3400442784002,[-49. -76. -54. -80.],-64.75
1068.375733855186,1158.0851469687084,"[-77.         -75.         -48.5        -65.4        -53.3
 -71.4        -55.25       -74.         -58.66666667 -63.
 -65.25       -59.5       ]",-63.85555555555555
1075.3100476388145,384.90916009409125,[-57. -40. -50. -62. -46.],-51.0
1082.2443614224435,381.44200320227696,[-39. -61. -59. -56. -72. -84.],-61.833333333333336
1085.7115183142578,388.37631698590576,[-87. -38. -57. -69. -50. -78. -79. -55.],-64.125
1085.7115183142578,953.5228903516572,[-76. -56. -54. -38. -45. -83. -63. -78.],-61.625
1089.178675206072,1078.3405384569764,"[-77.         -56.875      -54.33333333 -69.         -53.25
 -48.28571429 -72.33333333 -62.         -61.         -60.42857143
 -52.125     ]",-60.60281385281385
1092.6458320978868,1078.3405384569764,[-79. -57. -54. -55. -49. -71. -56.],-60.142857142857146
1096.112988989701,832.1723991381523,[-68. -53. -70. -52. -62. -45. -66.],-59.42857142857143
1096.112988989701,950.0557334598427,[-66.  -57.  -58.  -48.  -75.  -46.  -81.  -55.  -60.  -61.5],-60.75
1099.5801458815154,967.391517918915,"[-75.         -81.         -63.         -58.         -46.66666667
 -48.33333333 -73.         -68.         -76.         -61.        ]",-65.0
1103.04730277333,842.5738698135956,"[-60.5        -67.25       -44.85714286 -57.66666667 -69.
 -55.57142857 -61.         -65.         -84.         -46.5
 -62.         -64.28571429]",-61.46924603174603
1109.9816165569587,856.4424973808532,[-73.  -52.5 -66.  -69.  -86.  -64.5],-68.5
1113.4487734487734,953.5228903516572,"[-68.         -73.         -61.5        -58.         -78.
 -40.66666667 -49.33333333 -72.         -56.         -66.5
 -64.66666667]",-62.51515151515151
1127.317401016031,953.5228903516572,[-72. -60. -61. -38. -44. -65. -57. -67. -64.],-58.666666666666664
1182.7919112850618,787.0993595445648,[-56.  -64.5 -47.  -61.  -65.  -54.5 -73.  -84.  -45.  -63.5],-61.35
1186.259068176876,787.0993595445648,[-71. -43. -70. -62. -55. -58. -72. -48.],-59.875
1193.1933819605051,776.6978888691215,[-71. -45. -67. -58. -55. -80. -48.],-60.57142857142857
1196.6605388523194,416.11357212042117,[-43. -48. -56. -62. -50. -66.],-54.166666666666664
1200.1276957441337,419.58072901223545,[-89. -47. -53. -61. -56. -71.],-62.833333333333336
1210.529166419577,423.04788590404996,[-49. -52. -59. -61. -56. -66. -58.],-57.285714285714285
1224.397793986835,419.58072901223545,[-47. -56. -59. -66. -62. -75. -63. -79.],-63.375
1224.397793986835,429.98219968767876,[-57. -86. -43. -55. -49. -75. -58. -74.],-62.125
1231.3321077704636,426.5150427958645,[-47. -45. -59. -55. -56. -69.],-55.166666666666664
1238.2664215540926,1171.9537745359662,"[-69.66666667 -84.4        -43.1        -56.3        -84.3
 -54.25       -73.         -46.3        -57.         -64.
 -59.         -55.        ]",-62.19305555555556
1245.2007353377212,419.58072901223545,[-88. -47. -62. -54. -63. -89.],-67.16666666666667
1262.5365197967935,443.8508272549366,[-55. -45. -57. -53. -59. -67. -49. -75.],-57.5
1269.4708335804225,769.7635750854927,[-71. -35. -48. -68. -67. -53. -85. -52.],-59.875
1269.4708335804225,776.6978888691215,[-77. -44. -54. -60. -65. -57.],-59.5
1300.675245606752,780.165045760936,[-73. -45. -63. -59. -72. -38. -64. -70.],-60.5
1307.609559390381,776.6978888691215,[-60. -70. -33. -57. -66. -53. -36. -71.],-55.75
1345.7482852003395,412.64641522860666,[-35. -47. -54. -58. -53. -50. -67. -57.],-52.625
1359.6169127675976,429.98219968767876,[-47. -58. -55. -57. -76. -67.],-60.0
1370.0183834430409,433.44935657949327,[-44. -62. -53. -59. -70. -58.],-57.666666666666664
1380.4198541184837,1158.0851469687084,"[-69.         -85.2        -30.4        -61.2        -87.5
 -65.2        -48.83333333 -76.         -89.2        -82.
 -65.7        -55.4        -64.4       ]",-67.69487179487179
1383.8870110102985,426.5150427958645,[-84. -49. -69. -58. -59. -62.],-63.5
1428.960050603886,776.6978888691215,[-65. -45. -51. -75. -66. -50. -67. -56.],-59.375
1439.3615212793293,773.230731977307,[-80. -45. -53. -89. -68. -72. -51. -48. -56.],-62.44444444444444
1439.3615212793293,776.6978888691215,[-51. -65. -68. -60. -56. -55.],-59.166666666666664
1456.6973057384012,787.0993595445648,[-77. -46. -49. -76. -66. -54. -75.],-63.285714285714285
1498.3031884401744,1175.4209314277805,[-45. -59. -89. -72. -53. -81. -62. -54. -63.],-64.22222222222223
1501.7703453319887,1355.7130898021308,[-48. -69. -85. -57. -76. -75. -79. -73. -60. -77. -84.],-71.18181818181819
1505.2375022238034,1178.888088319595,[-34. -62. -89. -63. -47. -51. -59.],-57.857142857142854
1505.2375022238034,1355.7130898021308,"[-50.33333333 -67.         -80.         -76.         -52.
 -75.         -73.         -65.33333333 -70.66666667]",-67.70370370370371
1508.7046591156177,1171.9537745359662,[-36. -67. -89. -72. -45. -62. -54.],-60.714285714285715
1512.1718160074324,1175.4209314277805,[-40. -62. -89. -73. -51. -88. -83. -54. -64.],-67.11111111111111
1512.1718160074324,1258.6326968313267,[-42. -71. -72. -49. -89. -85. -74. -65.],-68.375
1512.1718160074324,1262.0998537231412,[-42. -71. -76. -52. -87. -59. -63.],-64.28571428571429
1512.1718160074324,1355.7130898021308,[-43. -67. -83. -74. -52. -76. -75. -72. -73. -68.],-68.3
1515.6389728992467,1262.0998537231412,[-39. -68. -74. -51. -88. -82. -61. -70.],-66.625
1515.6389728992467,1355.7130898021308,[-56. -67. -84. -78. -60. -76. -75. -71. -73. -68. -72.],-70.9090909090909
1519.106129791061,1262.0998537231412,"[-40.         -58.         -74.33333333 -47.         -88.33333333
 -83.33333333 -57.         -71.        ]",-64.875
1522.5732866828753,1258.6326968313267,[-50. -62. -78. -48. -89. -83. -66. -61.],-67.125
1522.5732866828753,1362.6474035857595,[-51. -67. -84. -78. -55. -76. -75. -70. -68. -72.],-69.6
1529.5076004665043,1251.698383047698,[-50. -62. -77. -54. -89. -70. -71.],-67.57142857142857
1529.5076004665043,1352.2459329103162,[-47.  -67.  -82.  -76.  -52.  -57.  -62.5 -71. ],-64.3125
1529.5076004665043,1355.7130898021308,[-48. -67. -84. -76. -52. -82. -79. -71. -74.],-70.33333333333333
1532.9747573583186,1248.2312261558836,[-44. -69. -77. -60. -89. -84. -70. -74.],-70.875
1536.4419142501333,1248.2312261558836,[-40. -65. -82. -51. -87. -83. -73. -70. -71.],-69.11111111111111
1553.7776987092052,780.165045760936,[-48. -55. -82. -59. -58. -61. -69. -90.],-65.25
1557.24485560102,787.0993595445648,[-55. -70. -45. -54. -82. -59. -52. -89. -64. -73.],-64.3
1557.24485560102,807.9023008954514,[-68. -47. -55. -82. -64. -57. -61. -74. -58.],-62.888888888888886
1571.1134831682775,388.37631698590576,[-49. -34. -73. -70. -53. -66. -48. -62.],-56.875
1571.1134831682775,416.11357212042117,[-41. -35. -61. -70. -50. -67. -55. -85. -60.],-58.22222222222222
