SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@TOT_Wi-Fi,04:5f:b9:e5:93:e7,-53,11,Y,TH,NONE,572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:5b:03,-55,11,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@JumboPlus,04:5f:b9:e5:70:c0,-77,1,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:70:c3,-77,1,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
.@TRUEWIFI,04:5f:b9:e5:70:c5,-77,1,Y,TH,NONE,572.572298325723,1504.800836150151
.@AISSUPERWiFi,04:5f:b9:e5:70:c6,-77,1,Y,TH,NONE,572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:70:c7,-77,1,Y,TH,NONE,572.572298325723,1504.800836150151
eduroam,04:5f:b9:e5:e1:4d,-79,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
AISSMARTLogin,04:5f:b9:e5:e1:46,-79,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
.@TrueMoveH,04:5f:b9:e5:e1:47,-79,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:e1:48,-79,108,Y,TH,NONE,572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:e1:4c,-79,108,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e5:e1:4e,-80,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e5:5b:0e,-64,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
eduroam,04:5f:b9:e5:5b:0d,-64,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:5b:0c,-64,108,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:5b:08,-64,108,Y,TH,NONE,572.572298325723,1504.800836150151
.@TrueMoveH,04:5f:b9:e5:5b:07,-64,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
AISSMARTLogin,04:5f:b9:e5:5b:06,-63,108,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e5:93:ee,-64,100,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
eduroam,04:5f:b9:e5:93:ed,-64,100,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:93:ec,-64,100,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:93:e8,-64,100,Y,TH,NONE,572.572298325723,1504.800836150151
.@TrueMoveH,04:5f:b9:e5:93:e7,-64,100,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
AISSMARTLogin,04:5f:b9:e5:93:e6,-64,100,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:82:ec,-88,60,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:82:e8,-88,60,Y,TH,NONE,572.572298325723,1504.800836150151
.@TrueMoveH,04:5f:b9:e5:82:e7,-88,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
AISSMARTLogin,04:5f:b9:e5:82:e6,-88,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
eduroam,04:5f:b9:e5:82:ed,-87,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e5:82:ee,-88,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e4:ea:2e,-84,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
eduroam,04:5f:b9:e4:ea:2d,-84,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e4:ea:2c,-84,60,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e4:ea:28,-84,60,Y,TH,NONE,572.572298325723,1504.800836150151
.@TrueMoveH,04:5f:b9:e4:ea:27,-84,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
AISSMARTLogin,04:5f:b9:e4:ea:26,-84,60,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlus5GHz,04:5f:b9:e5:80:8e,-69,56,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
