SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-Staff,00:a2:89:03:3a:2f,-88,132,Y,TH,NONE,677.6122994652405,353.19340463458104
CPE-WiFi,00:a2:89:03:3a:2e,-87,132,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:b6:70:59:9f:0e,-71,104,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:b6:70:59:9f:0d,-70,104,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlusIoT,00:b6:70:59:9f:0c,-71,104,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:b6:70:59:9f:08,-71,104,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TrueMoveH,00:b6:70:59:9f:07,-70,104,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,00:b6:70:59:9f:06,-71,104,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,00:7e:95:c5:34:c6,-82,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
.@TrueMoveH,00:7e:95:c5:34:c7,-82,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c5:34:c8,-82,100,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c5:34:cc,-83,100,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:7e:95:c5:34:cd,-82,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:7e:95:c5:34:ce,-82,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:b6:70:5e:a5:ad,-86,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlusIoT,00:b6:70:5e:a5:ac,-85,100,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:b6:70:5e:a5:a8,-85,100,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TrueMoveH,00:b6:70:5e:a5:a7,-85,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,00:b6:70:5e:a5:a6,-85,100,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,04:5f:b9:e5:da:26,-89,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,04:5f:b9:e5:da:28,-88,64,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,04:5f:b9:e5:da:2c,-89,64,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
eduroam,04:5f:b9:e5:da:2d,-88,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
CPE-WiFi,00:a2:89:03:36:ee,-91,64,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlus5GHz,04:5f:b9:e5:da:2e,-88,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:7e:95:c9:f9:0e,-62,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:7e:95:c9:f9:0d,-62,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c9:f9:0c,-62,64,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c9:f9:08,-62,64,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TrueMoveH,00:7e:95:c9:f9:07,-62,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,00:7e:95:c9:f9:06,-62,64,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
CPE-WiFi,00:3c:10:75:b2:4e,-92,52,Y,TH,NONE,677.6122994652405,353.19340463458104
CPE-Staff,00:3c:10:75:b2:4f,-90,52,Y,TH,NONE,677.6122994652405,353.19340463458104
AISSMARTLogin,00:7e:95:cb:a8:86,-70,157,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
.@TrueMoveH,00:7e:95:cb:a8:87,-70,157,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:cb:a8:88,-70,157,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:cb:a8:8c,-70,157,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:7e:95:cb:a8:8d,-71,157,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:7e:95:cb:a8:8e,-70,157,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
CPE-WiFi,70:f3:5a:55:a7:ce,-86,149,Y,TH,NONE,677.6122994652405,353.19340463458104
AISSMARTLogin,00:7e:95:c4:fa:66,-62,149,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
.@TrueMoveH,00:7e:95:c4:fa:67,-62,149,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c4:fa:68,-62,149,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c4:fa:6c,-62,149,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
CPE-Staff,70:f3:5a:55:a7:cf,-87,149,Y,TH,NONE,677.6122994652405,353.19340463458104
eduroam,00:7e:95:c4:fa:6d,-62,149,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:7e:95:c4:fa:6e,-62,149,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
AISSMARTLogin,00:7e:95:c5:3b:06,-71,44,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
.@TrueMoveH,00:7e:95:c5:3b:07,-71,44,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c5:3b:08,-71,44,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c5:3b:0c,-71,44,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
eduroam,00:7e:95:c5:3b:0d,-72,44,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus5GHz,00:7e:95:c5:3b:0e,-71,44,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:b6:70:59:9f:07,-73,1,Y,TH,NONE,677.6122994652405,353.19340463458104
.@AISSUPERWiFi,00:b6:70:59:9f:06,-73,1,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TRUEWIFI,00:b6:70:59:9f:05,-73,1,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:b6:70:59:9f:03,-72,1,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus,00:b6:70:59:9f:00,-73,1,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
ESP-5EAC73,de:4f:22:5e:ac:73,-73,1,N,TH,NONE,677.6122994652405,353.19340463458104
.@TRUEWIFI,00:7e:95:c5:3b:05,-62,11,Y,TH,NONE,677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:cb:65:47,-76,11,Y,TH,NONE,677.6122994652405,353.19340463458104
.@AISSUPERWiFi,00:7e:95:cb:65:46,-75,11,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TRUEWIFI,00:7e:95:cb:65:45,-75,11,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:cb:65:43,-74,11,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c9:f9:07,-66,11,Y,TH,NONE,677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c5:3b:07,-62,11,Y,TH,NONE,677.6122994652405,353.19340463458104
.@AISSUPERWiFi,00:7e:95:c5:3b:06,-62,11,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c5:3b:03,-62,11,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus,00:7e:95:c5:3b:00,-62,11,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c9:f9:03,-67,11,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus,00:7e:95:c9:f9:00,-66,11,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
POCOX3NFC,76:b9:97:01:0e:c4,-73,7,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@TOT_Wi-Fi,00:7e:95:c5:28:67,-73,6,Y,TH,NONE,677.6122994652405,353.19340463458104
.@AISSUPERWiFi,00:7e:95:c5:28:66,-73,6,Y,TH,NONE,677.6122994652405,353.19340463458104
