SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY
.@TRUEWIFI,04:5f:b9:e5:57:65,-73,6,Y,TH,NONE
.@AISSUPERWiFi,04:5f:b9:e5:57:66,-73,6,Y,TH,NONE
@TOT_Wi-Fi,04:5f:b9:e5:57:67,-72,6,Y,TH,NONE
@JumboPlus,04:5f:b9:e5:f0:80,-65,11,Y,TH,RSN(802.1x/AES/AES)
@JumboPlusIoT,04:5f:b9:e5:f0:83,-67,11,Y,TH,RSN(PSK/AES/AES)
@TOT_Wi-Fi,04:5f:b9:e5:f0:87,-64,11,Y,TH,NONE
@JumboPlus,04:5f:b9:e6:4c:e0,-63,11,Y,TH,RSN(802.1x/AES/AES)
@JumboPlusIoT,04:5f:b9:e6:4c:e3,-63,11,Y,TH,RSN(PSK/AES/AES)
.@TRUEWIFI,04:5f:b9:e6:4c:e5,-63,11,Y,TH,NONE
.@AISSUPERWiFi,04:5f:b9:e6:4c:e6,-63,11,Y,TH,NONE
@TOT_Wi-Fi,04:5f:b9:e6:4c:e7,-63,11,Y,TH,NONE
@JumboPlus,04:5f:b9:e5:70:80,-71,11,Y,TH,RSN(802.1x/AES/AES)
.@TRUEWIFI,04:5f:b9:e5:70:85,-71,11,Y,TH,NONE
.@AISSUPERWiFi,04:5f:b9:e5:70:86,-71,11,Y,TH,NONE
@JumboPlus5GHz,04:5f:b9:e5:70:8e,-68,100,Y,TH,RSN(802.1x/AES/AES)
@TOT_Wi-Fi,04:5f:b9:e5:70:88,-68,100,Y,TH,NONE
.@TrueMoveH,04:5f:b9:e5:70:87,-68,100,Y,TH,RSN(802.1x/AES/AES)
AISSMARTLogin,04:5f:b9:e5:70:86,-67,100,Y,TH,RSN(802.1x/AES/AES)
@JumboPlus5GHz,00:7e:95:ca:86:8e,-87,60,Y,TH,RSN(802.1x/AES/AES)
eduroam,00:7e:95:ca:86:8d,-86,60,Y,TH,RSN(802.1x/AES/AES)
@TOT_Wi-Fi,00:7e:95:ca:86:88,-87,60,Y,TH,NONE
.@TrueMoveH,00:7e:95:ca:86:87,-87,60,Y,TH,RSN(802.1x/AES/AES)
