SSID,BSSID,CHANNEL,RSSI,Xcoordinate,Ycoordinate
@JumboPlus5GHz,00:7e:95:cb:17:ee,36,-85,133.58377896613183,588.8475935828877
eduroam,00:7e:95:cb:17:ed,36,-86,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:cb:17:ec,36,-84,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:17:e8,36,-87,133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:cb:17:e7,36,-86,133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:cb:17:e6,36,-85,133.58377896613183,588.8475935828877
AISSMARTLogin,04:5f:b9:e5:d9:a6,36,-78,133.58377896613183,588.8475935828877
.@TrueMoveH,04:5f:b9:e5:d9:a7,36,-78,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:42:c8,36,-79,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:42:cc,36,-79,133.58377896613183,588.8475935828877
AISSMARTLogin,00:b6:70:5f:15:06,36,-71,133.58377896613183,588.8475935828877
.@TrueMoveH,00:b6:70:5f:15:07,36,-70,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:b6:70:5f:15:08,36,-70,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:b6:70:5f:15:0c,36,-71,133.58377896613183,588.8475935828877
eduroam,00:b6:70:5f:15:0d,36,-71,133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:b6:70:5f:15:0e,36,-71,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:0d:87,1,-74,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:79:07,1,-63,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:7e:95:c9:79:06,1,-62,133.58377896613183,588.8475935828877
.@TRUEWIFI,00:7e:95:c9:79:05,1,-62,133.58377896613183,588.8475935828877
@JumboPlus,00:7e:95:c9:79:00,1,-63,133.58377896613183,588.8475935828877
@JumboPlus,00:7e:95:c5:06:60,1,-66,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c5:06:67,1,-67,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:6f:27,1,-71,133.58377896613183,588.8475935828877
.@AISSUPERWiFi,00:7e:95:c5:06:66,1,-64,133.58377896613183,588.8475935828877
