Xcoordinate,Ycoordinate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
1000.9785988659229,640.5265227730015,-87,-74,-74,-74,-74,-74,-82,-63,-81,-63,-82,-63,-81,-63,-82,-63,-63,-82,-79,-78,-78,-79,-78,-76,-76,-81,-80,-76,-81,-81,-75,-81,-84,-83,-84,-84,-84,-84,-57,-57,-71,-56,-69,-53,-68,-67,-53,-64,-60,-59,-57,-57,-57,-57,-57,-77,-68,-72,-73,-80,-82,-80,-82,-67,-67,-68,-73,-72,-70,-71,-67,-81,-80,-82,-75,-68,-80,-75,-75,-68,-69,-69,-68,-75,-57,-57,-58,-58,-57,-57,-85,-85,-84,-85,-82,-81,-81,-82,-82,-81,-76,-76,-75,-75,-76,-76,-73,-73,-81,-65,-65,-73,-75,-75,-74,-65,-74,-64,-53,-64,-52,-71,-52,-72,-52,-52,-52,-64,-100
1004.1869398207426,717.5267056886773,-81,-81,-80,-80,-67,-67,-67,-67,-67,-67,-78,-78,-78,-78,-78,-77,-80,-80,-86,-87,-87,-87,-86,-87,-74,-81,-85,-85,-80,-80,-72,-72,-72,-72,-73,-72,-57,-72,-67,-64,-63,-48,-48,-48,-65,-60,-59,-60,-60,-66,-59,-65,-66,-65,-60,-60,-59,-60,-60,-70,-72,-71,-71,-83,-79,-68,-69,-69,-79,-68,-68,-68,-86,-62,-65,-74,-74,-71,-78,-57,-78,-57,-62,-56,-57,-57,-64,-76,-76,-76,-76,-76,-76,-73,-73,-73,-73,-73,-73,-69,-68,-68,-68,-76,-75,-75,-75,-74,-69,-74,-75,-74,-75,-74,-66,-67,-68,-56,-55,-56,-55,-56,-56,-83,-84,-84,-83,-84,-100
1010.6036217303823,794.5268886043532,-76,-76,-85,-86,-85,-85,-85,-85,-80,-85,-79,-79,-78,-79,-79,-79,-88,-89,-83,-83,-85,-83,-83,-83,-66,-59,-59,-59,-59,-62,-62,-57,-57,-57,-58,-66,-58,-59,-60,-58,-58,-59,-58,-58,-58,-75,-58,-85,-86,-85,-73,-73,-79,-78,-76,-76,-79,-77,-78,-76,-78,-78,-79,-80,-81,-80,-80,-78,-74,-74,-74,-74,-72,-71,-70,-73,-70,-60,-60,-60,-60,-73,-60,-56,-57,-56,-57,-57,-86,-77,-78,-77,-77,-82,-81,-81,-82,-81,-81,-85,-72,-73,-77,-77,-68,-68,-74,-74,-74,-80,-80,-80,-80,-81,-81,-84,-74,-73,-74,-69,-70,-74,-55,-55,-55,-54,-54,-55,-100
1036.270349368941,938.9022315712455,-74,-75,-84,-85,-84,-84,-83,-85,-85,-86,-88,-82,-82,-65,-65,-72,-63,-62,-63,-64,-64,-62,-63,-64,-66,-45,-46,-45,-45,-45,-56,-55,-62,-62,-61,-62,-59,-64,-69,-86,-86,-68,-79,-79,-78,-78,-78,-70,-71,-72,-69,-71,-69,-79,-77,-77,-80,-80,-80,-82,-82,-81,-73,-73,-73,-73,-67,-82,-68,-73,-68,-73,-68,-68,-68,-72,-72,-83,-84,-81,-80,-80,-81,-80,-71,-72,-71,-72,-61,-60,-57,-57,-61,-56,-60,-61,-56,-61,-57,-56,-80,-84,-85,-85,-85,-85,-84,-80,-60,-81,-60,-76,-76,-60,-76,-81,-60,-39,-39,-39,-60,-39,-60,-81,-61,-39,-61,-39,-100
1042.6870312785804,1019.1107554417413,-59,-58,-61,-60,-61,-60,-60,-60,-87,-86,-86,-85,-85,-85,-86,-75,-75,-76,-76,-76,-76,-79,-79,-80,-80,-80,-79,-79,-87,-87,-85,-85,-61,-61,-74,-70,-71,-65,-70,-65,-65,-55,-55,-55,-66,-55,-69,-62,-66,-55,-60,-64,-60,-60,-80,-80,-80,-77,-85,-76,-77,-77,-77,-81,-77,-80,-80,-81,-86,-74,-84,-84,-85,-84,-79,-79,-79,-74,-79,-66,-65,-65,-65,-79,-65,-79,-65,-74,-85,-85,-74,-74,-74,-62,-58,-62,-58,-62,-58,-63,-58,-62,-59,-63,-58,-81,-57,-71,-57,-72,-57,-58,-71,-57,-64,-60,-83,-83,-83,-84,-83,-83,-47,-47,-47,-47,-47,-47,-100
1042.6870312785804,849.0686848362902,-82,-80,-81,-76,-76,-76,-76,-75,-77,-83,-82,-82,-82,-83,-83,-88,-87,-76,-76,-75,-76,-89,-89,-60,-60,-65,-66,-61,-53,-53,-53,-53,-53,-66,-59,-59,-85,-85,-78,-78,-78,-78,-78,-78,-69,-80,-80,-79,-73,-79,-80,-73,-69,-69,-73,-69,-74,-46,-45,-46,-46,-46,-46,-76,-74,-83,-82,-74,-79,-72,-80,-72,-72,-84,-74,-72,-79,-79,-80,-79,-84,-83,-83,-85,-62,-61,-62,-63,-79,-79,-71,-67,-61,-61,-79,-79,-67,-62,-63,-87,-87,-87,-86,-88,-87,-81,-80,-81,-80,-80,-66,-66,-72,-50,-72,-66,-50,-72,-50,-66,-50,-72,-72,-50,-72,-65,-50,-65,-100
1052.3120541430399,1086.4859154929577,-66,-59,-58,-80,-69,-66,-55,-70,-71,-70,-74,-86,-85,-85,-85,-86,-69,-69,-69,-69,-69,-69,-82,-82,-88,-78,-78,-78,-79,-79,-72,-72,-72,-72,-72,-72,-89,-90,-81,-81,-69,-69,-63,-63,-63,-63,-63,-63,-63,-63,-60,-59,-59,-64,-66,-59,-59,-44,-68,-59,-58,-59,-58,-60,-59,-59,-83,-83,-82,-84,-73,-83,-73,-82,-73,-73,-73,-82,-83,-79,-80,-80,-71,-71,-79,-71,-80,-71,-71,-79,-71,-80,-82,-68,-81,-68,-69,-69,-85,-85,-85,-85,-84,-62,-63,-61,-62,-62,-64,-86,-85,-85,-70,-70,-70,-75,-74,-74,-74,-50,-50,-50,-65,-70,-50,-50,-65,-50,-100
1068.3537589171392,1160.2777574538136,-86,-81,-81,-81,-80,-81,-81,-74,-74,-74,-74,-74,-77,-74,-77,-80,-80,-80,-80,-81,-80,-79,-78,-80,-78,-80,-78,-88,-86,-76,-76,-80,-81,-70,-60,-62,-59,-59,-59,-59,-59,-60,-68,-62,-70,-69,-63,-63,-82,-82,-83,-82,-82,-82,-86,-78,-82,-86,-86,-78,-78,-77,-77,-73,-73,-73,-73,-73,-78,-73,-77,-77,-79,-80,-80,-76,-76,-80,-76,-76,-79,-76,-55,-55,-55,-55,-55,-55,-72,-72,-73,-73,-85,-60,-67,-64,-60,-67,-60,-63,-60,-66,-60,-65,-61,-79,-79,-71,-82,-83,-82,-82,-82,-80,-81,-81,-81,-80,-80,-72,-49,-49,-49,-49,-49,-74,-49,-74,-100
1106.8538503749774,422.3593378452531,-79,-78,-78,-79,-79,-78,-55,-55,-54,-55,-55,-55,-81,-81,-81,-81,-81,-81,-62,-77,-56,-55,-56,-56,-34,-56,-34,-34,-64,-55,-34,-35,-55,-54,-57,-61,-61,-68,-74,-73,-60,-44,-83,-84,-83,-83,-84,-84,-61,-61,-74,-83,-83,-75,-75,-75,-75,-75,-74,-82,-85,-70,-71,-71,-71,-71,-70,-82,-67,-67,-66,-67,-66,-66,-86,-80,-69,-69,-71,-71,-71,-71,-71,-71,-80,-81,-85,-30,-30,-30,-30,-30,-30,-79,-78,-78,-78,-78,-78,-81,-81,-80,-81,-81,-81,-59,-66,-78,-78,-65,-59,-65,-78,-65,-77,-65,-59,-65,-76,-76,-79,-76,-59,-75,-75,-59,-73,-59,-100
1106.8538503749774,775.2768428754343,-74,-73,-74,-73,-76,-76,-75,-75,-76,-76,-85,-85,-86,-88,-88,-86,-69,-69,-87,-69,-69,-69,-69,-90,-88,-69,-62,-61,-60,-59,-70,-67,-55,-67,-55,-55,-55,-54,-69,-59,-68,-71,-64,-69,-70,-72,-69,-68,-87,-87,-78,-78,-78,-79,-78,-78,-76,-76,-76,-76,-76,-76,-86,-66,-65,-77,-75,-77,-74,-77,-66,-77,-65,-73,-66,-50,-50,-50,-50,-50,-50,-66,-78,-82,-83,-83,-80,-80,-80,-80,-80,-83,-83,-83,-72,-72,-58,-58,-57,-57,-58,-57,-71,-71,-71,-66,-75,-79,-71,-85,-76,-76,-79,-75,-75,-78,-58,-58,-75,-79,-75,-57,-58,-57,-58,-79,-84,-83,-100
1113.2705322846168,839.4436619718308,-66,-67,-79,-79,-79,-79,-78,-79,-67,-67,-67,-67,-67,-67,-80,-81,-79,-80,-74,-74,-74,-79,-74,-75,-74,-88,-88,-87,-87,-87,-82,-81,-73,-73,-73,-73,-73,-73,-68,-68,-66,-58,-71,-62,-59,-58,-58,-66,-66,-71,-70,-53,-53,-53,-53,-53,-71,-59,-59,-57,-57,-59,-59,-59,-56,-57,-59,-57,-60,-84,-84,-55,-55,-55,-57,-79,-79,-59,-59,-55,-55,-59,-68,-58,-57,-84,-85,-86,-86,-85,-86,-83,-82,-82,-82,-82,-82,-77,-77,-77,-70,-70,-70,-78,-69,-52,-53,-53,-52,-53,-53,-86,-85,-83,-72,-72,-76,-76,-73,-72,-83,-75,-75,-75,-77,-72,-58,-71,-100
1122.8955551490762,897.1937991585878,-58,-58,-58,-77,-77,-77,-73,-73,-74,-72,-74,-73,-77,-77,-77,-88,-88,-86,-73,-72,-72,-86,-72,-73,-72,-88,-88,-87,-65,-64,-61,-61,-64,-63,-61,-71,-66,-66,-67,-47,-47,-47,-66,-47,-47,-67,-71,-61,-61,-67,-66,-60,-60,-60,-67,-66,-60,-60,-66,-54,-53,-77,-77,-78,-65,-68,-68,-68,-67,-65,-68,-65,-68,-64,-66,-66,-84,-85,-85,-85,-85,-84,-83,-83,-82,-82,-82,-82,-89,-70,-73,-70,-82,-83,-82,-82,-74,-82,-70,-74,-82,-70,-60,-60,-70,-60,-60,-59,-60,-73,-73,-77,-78,-70,-53,-53,-53,-53,-53,-53,-70,-70,-75,-74,-74,-75,-74,-75,-100
