SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
.@TrueMoveH,00:7e:95:c7:ec:67,-72,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
eduroam,00:7e:95:cb:77:cd,-63,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@JumboPlus5GHz,00:7e:95:c5:06:6e,-69,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
eduroam,00:7e:95:c5:06:6d,-69,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@JumboPlusIoT,00:7e:95:c5:06:6c,-67,100,Y,TH,RSN(PSK/AES/AES),315.7584670231728,573.8743315508021
@TOT_Wi-Fi,00:7e:95:c5:06:68,-67,100,Y,TH,NONE,315.7584670231728,573.8743315508021
.@TrueMoveH,00:7e:95:c5:06:67,-69,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
AISSMARTLogin,00:7e:95:c5:06:66,-69,100,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
AISSMARTLogin,04:5f:b9:e4:2c:26,-81,"64,-1",Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
.@TrueMoveH,04:5f:b9:e4:2c:27,-81,"64,-1",Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@TOT_Wi-Fi,04:5f:b9:e4:2c:28,-81,"64,-1",Y,TH,NONE,315.7584670231728,573.8743315508021
@JumboPlusIoT,04:5f:b9:e4:2c:2c,-80,"64,-1",Y,TH,RSN(PSK/AES/AES),315.7584670231728,573.8743315508021
eduroam,04:5f:b9:e4:2c:2d,-81,"64,-1",Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@JumboPlus5GHz,04:5f:b9:e4:2c:2e,-81,"64,-1",Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
AISSMARTLogin,04:5f:b9:e5:d9:a6,-83,64,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:1e,-44,64,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",315.7584670231728,573.8743315508021
@JumboPlus5GHz,00:7e:95:cb:87:ee,-85,64,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
eduroam,00:7e:95:cb:87:ed,-85,64,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@JumboPlusIoT,00:7e:95:cb:87:ec,-84,64,Y,TH,RSN(PSK/AES/AES),315.7584670231728,573.8743315508021
@TOT_Wi-Fi,00:7e:95:cb:87:e8,-84,64,Y,TH,NONE,315.7584670231728,573.8743315508021
.@TrueMoveH,00:7e:95:cb:87:e7,-84,64,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
AISSMARTLogin,00:7e:95:cb:87:e6,-84,64,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
@JumboPlus,00:7e:95:c9:76:a0,-77,1,Y,TH,RSN(802.1x/AES/AES),315.7584670231728,573.8743315508021
