SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
eduroam,04:5f:b9:e4:e0:4d,-76,104,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,04:5f:b9:e4:e0:4e,-76,104,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:cb:64:8d,-84,104,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:64:88,-84,104,Y,TH,NONE,133.58377896613183,588.8475935828877
AISSMARTLogin,04:5f:b9:e5:dd:66,-70,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c5:06:68,-61,100,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:cb:77:cc,-60,100,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c5:2f:86,-60,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c9:76:ae,-75,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c9:76:ad,-75,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:76:ac,-75,100,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:76:a8,-74,100,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c9:76:a7,-74,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c9:76:a6,-74,100,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:1e,-44,64,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c5:46:4c,-87,64,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:cb:13:66,-85,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:cb:13:67,-85,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:cb:13:68,-85,60,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:cb:13:6c,-85,60,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:cb:13:6d,-84,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,04:5f:b9:e4:2f:8e,-80,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,04:5f:b9:e4:2f:8d,-79,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,04:5f:b9:e4:2f:8c,-79,60,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,04:5f:b9:e4:2f:88,-79,60,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TrueMoveH,04:5f:b9:e4:2f:87,-79,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,04:5f:b9:e4:2f:86,-79,60,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:b6:70:59:5d:c6,-80,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:b6:70:59:5d:c7,-80,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:b6:70:59:5d:c8,-79,52,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:b6:70:59:5d:cc,-80,52,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:b6:70:59:5d:cd,-80,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:b6:70:59:5d:ce,-80,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c5:04:ae,-79,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c5:04:ad,-79,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c5:04:ac,-79,52,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c5:04:a8,-79,52,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c5:04:a7,-79,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c5:04:a6,-79,52,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
QuadrupedRobot,d4:5d:64:91:a2:3c,-83,161,Y,US,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c7:e8:ee,-78,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c5:10:c6,-81,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c5:10:c7,-81,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c7:f0:a6,-79,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c5:10:c8,-81,157,Y,TH,NONE,133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c7:f0:a7,-79,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
